Element,Transition,Theory (eV),Unc (eV),Direct (eV),Unc. (eV)
Cf,L1M1,19261.7,3.3,19257.6,8.6
Cf,L1M2,19673.3,3.6,19676.2,6.3
Cf,L1M3,20902.7,3.9,20892.0,9.4
Cf,L1M4,21535.9,2.9,,
Cf,L1M5,21773.5,2.8,,
Cf,L1N1,24217.7,4.7,24201.9,6.3
Cf,L1N2,24411.7,6.0,24404.8,8.2
Cf,L1N3,24738.7,4.2,24721.2,9.2
Cf,L1N4,25038.7,4.2,,
Cf,L1N5,25098.0,4.1,,
Cf,L1N6,25491.9,3.8,,
Cf,L1N7,25507.4,3.3,,
Cf,L1 edge,26033.3,2.0,26016.0,5.0
Cf,L2M1,18355.3,2.4,18347.1,8.7
Cf,L2M2,18766.9,2.5,18767.3,6.1
Cf,L2M3,19996.3,2.7,19990.0,8.5
Cf,L2M4,20629.5,1.7,,
Cf,L2M5,20867.1,1.6,,
Cf,L2N1,23311.3,3.5,23295.5,6.2
Cf,L2N2,23505.3,4.9,23501.1,7.6
Cf,L2N3,23832.3,3.0,23819.1,8.4
Cf,L2N4,24132.3,3.2,,
Cf,L2N5,24191.6,3.0,,
Cf,L2N6,24585.5,2.7,,
Cf,L2N7,24600.9,2.2,,
Cf,L2 edge,25126.85,0.9,25108.0,5.0
Cf,L3M1,13154.2,2.1,13145.0,14.0
Cf,L3M2,13565.8,2.1,13557.0,8.2
Cf,L3M3,14795.2,2.4,14785.0,8.5
Cf,L3M4,15428.4,1.4,,
Cf,L3M5,15666.0,1.3,,
Cf,L3N1,18110.3,3.2,18090.8,8.5
Cf,L3N2,18304.2,4.5,18295.8,8.4
Cf,L3N3,18631.2,2.7,18613.9,8.4
Cf,L3N4,18931.2,2.8,,
Cf,L3N5,18990.6,2.6,,
Cf,L3N6,19384.4,2.3,,
Cf,L3N7,19399.9,1.9,,
Cf,L3 edge,19925.8,0.5,19901.0,6.0
Cf,L1M1,19261.3,3.3,19259.0,14.0
Cf,L1M2,19672.9,3.6,19678.0,51.0
Cf,L1M3,20902.3,3.9,20902.0,58.0
Cf,L1M4,21535.5,2.9,21556.0,70.0
Cf,L1M5,21773.1,2.8,21776.0,70.0
Cf,L1N1,24217.3,4.7,24237.0,61.0
Cf,L1N2,24411.3,6.0,24411.0,72.0
Cf,L1N3,24738.3,4.2,24745.0,72.0
Cf,L1N4,25038.3,4.2,,
Cf,L1N5,25097.6,4.1,,
Cf,L1N6,25491.5,3.8,,
Cf,L1N7,25507.0,3.3,,
Cf,L1 edge,26032.9,2.0,,
Cf,L2M1,18355.1,2.4,18366.0,12.0
Cf,L2M2,18766.6,2.5,18772.0,19.0
Cf,L2M3,19996.1,2.7,20001.0,16.0
Cf,L2M4,20629.3,1.7,20656.0,70.0
Cf,L2M5,20866.8,1.6,20876.0,70.0
Cf,L2N1,23311.1,3.5,23345.0,62.0
Cf,L2N2,23505.1,4.9,23485.0,23.0
Cf,L2N3,23832.1,3.0,23822.0,24.0
Cf,L2N4,24132.0,3.2,,
Cf,L2N5,24191.4,3.0,,
Cf,L2N6,24585.2,2.7,,
Cf,L2N7,24600.7,2.2,,
Cf,L2 edge,25126.63,0.9,,
Cf,L3M1,13154.1,2.1,13141.0,14.0
Cf,L3M2,13565.6,2.1,13568.0,15.0
Cf,L3M3,14795.1,2.4,14797.0,12.0
Cf,L3M4,15428.3,1.4,15434.0,69.0
Cf,L3M5,15665.8,1.3,15654.0,69.0
Cf,L3N1,18110.1,3.2,18128.0,37.0
Cf,L3N2,18304.1,4.5,18278.0,18.0
Cf,L3N3,18631.1,2.7,18610.0,18.0
Cf,L3N4,18931.0,2.8,,
Cf,L3N5,18990.4,2.6,,
Cf,L3N6,19384.2,2.3,,
Cf,L3N7,19399.7,1.9,,
Cf,L3 edge,19925.62,0.5,,
Es,L1M1,19814.4,3.3,,
Es,L1M2,20233.8,3.7,,
Es,L1M3,21532.3,3.9,,
Es,L1M4,22175.9,3.0,,
Es,L1M5,22424.7,2.8,,
Es,L1N1,24915.2,4.8,,
Es,L1N2,25113.6,6.2,,
Es,L1N3,25460.5,4.2,,
Es,L1N4,25766.6,4.4,,
Es,L1N5,25829.0,4.1,,
Es,L1N6,26230.8,3.8,,
Es,L1N7,26247.3,3.4,,
Es,L1 edge,26792.1,2.1,,
Es,L2M1,18892.2,2.4,,
Es,L2M2,19311.6,2.5,,
Es,L2M3,20610.1,2.8,,
Es,L2M4,21253.7,1.8,,
Es,L2M5,21502.5,1.7,,
Es,L2N1,23993.0,3.6,,
Es,L2N2,24191.3,5.0,,
Es,L2N3,24538.3,3.0,,
Es,L2N4,24844.3,3.2,,
Es,L2N5,24906.8,2.9,,
Es,L2N6,25308.5,2.7,,
Es,L2N7,25325.1,2.3,,
Es,L2 edge,25869.9,0.9,,
Es,L3M1,13411.7,2.1,,
Es,L3M2,13831.1,2.1,,
Es,L3M3,15129.6,2.4,,
Es,L3M4,15773.2,1.4,,
Es,L3M5,16022.0,1.3,,
Es,L3N1,18512.5,3.3,,
Es,L3N2,18710.8,4.6,,
Es,L3N3,19057.8,2.7,,
Es,L3N4,19363.8,2.8,,
Es,L3N5,19426.3,2.5,,
Es,L3N6,19828.1,2.4,,
Es,L3N7,19844.6,1.9,,
Es,L3 edge,20389.42,0.6,,
Fm,L1M1,20380.3,3.4,20373.0,12.0
Fm,L1M2,20807.5,3.6,20794.0,11.0
Fm,L1M3,22178.7,4.0,22165.0,11.0
Fm,L1M4,22832.7,2.9,22827.0,14.0
Fm,L1M5,23093.3,2.9,23089.0,14.0
Fm,L1N1,25637.7,5.0,25633.0,14.0
Fm,L1N2,25840.3,6.2,25830.0,12.0
Fm,L1N3,26208.5,4.3,26202.0,12.0
Fm,L1N4,26520.5,4.5,26514.0,14.0
Fm,L1N5,26586.4,4.1,26584.0,14.0
Fm,L1N6,26996.0,3.9,26934.0,17.0
Fm,L1N7,27013.6,3.6,26934.0,17.0
Fm,L1 edge,27584.4,2.2,27573.0,8.0
Fm,L2M1,19442.4,2.4,19444.0,11.0
Fm,L2M2,19869.6,2.5,19865.0,9.9
Fm,L2M3,21240.8,2.8,21236.0,9.9
Fm,L2M4,21894.8,1.8,21898.0,13.0
Fm,L2M5,22155.4,1.7,22160.0,13.0
Fm,L2N1,24699.8,3.7,24704.0,13.0
Fm,L2N2,24902.4,5.1,24901.0,11.0
Fm,L2N3,25270.6,3.1,25273.0,11.0
Fm,L2N4,25582.6,3.2,25585.0,13.0
Fm,L2N5,25648.5,2.9,25655.0,13.0
Fm,L2N6,26058.1,2.7,26005.0,17.0
Fm,L2N7,26075.7,2.3,26005.0,17.0
Fm,L2 edge,26646.5,1.0,26644.0,7.0
Fm,L3M1,13668.8,2.1,13668.0,11.0
Fm,L3M2,14095.9,2.1,14089.0,9.9
Fm,L3M3,15467.1,2.4,15460.0,9.9
Fm,L3M4,16121.2,1.4,16122.0,13.0
Fm,L3M5,16381.8,1.3,16384.0,13.0
Fm,L3N1,18926.2,3.4,18928.0,13.0
Fm,L3N2,19128.8,4.8,19125.0,11.0
Fm,L3N3,19496.9,2.7,19497.0,11.0
Fm,L3N4,19809.0,2.9,19809.0,13.0
Fm,L3N5,19874.8,2.6,19879.0,13.0
Fm,L3N6,20284.4,2.3,20229.0,17.0
Fm,L3N7,20302.1,2.0,20229.0,17.0
Fm,L3 edge,20872.81,0.6,20868.0,7.0
